"session","created","modified","ended","expired","psid","ip_address","browser","respondentNumber","dynata_root","dynata_complete","dynata_screen","dynata_quota","inMarket","zip","inMarketscreenout"
"pAngfbUC0yvfIW1rGjQBUCWBloWYVwYF4iyJBuPuRuy_k9Z48eevccY6j-a5fKgx","2021-08-18 00:40:03","","","","FQZxCw4glWwCz1oScGGm7g**","98.44.69.148","Mozilla/5.0 (Linux; Android 10; LM-Q730 Build/QKQ1.200216.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwCz1oScGGm7g**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwCz1oScGGm7g**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwCz1oScGGm7g**","","",""
"yVGXw5hh1AZoJSTfRkaWl6Kh58ic1HJMj4qSFQcg1z-SY4qvThoF_0vUlZ5d9W3C","2021-08-18 00:40:03","2021-08-18 00:40:37","2021-08-18 00:40:39","","FQZxCw4glWyaqkQ7TRBEkg**","24.142.158.158","Mozilla/5.0 (Android 10; Mobile; rv:91.0) Gecko/91.0 Firefox/91.0","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyaqkQ7TRBEkg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyaqkQ7TRBEkg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyaqkQ7TRBEkg**","1year","2124","0"
"KiuqDon72JQ8vanBjhlm_kGXAYNrO0AalCL37lJxrMfHtlQYkn6kpkMvJcT4Nuco","2021-08-18 00:40:03","","","","FQZxCw4glWzpivEF_u42vA**","67.169.127.22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWzpivEF_u42vA**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWzpivEF_u42vA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWzpivEF_u42vA**","","",""
"WUxv9q5__DsKG7FegC1gjya9zkv9UO6w7LSuozGCpR36F5MzL6E_cEYcI6NlgZs1","2021-08-18 00:40:03","","","","FQZxCw4glWwCz1oScGGm7g**","98.44.69.148","Mozilla/5.0 (Linux; Android 10; LM-Q730 Build/QKQ1.200216.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwCz1oScGGm7g**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwCz1oScGGm7g**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwCz1oScGGm7g**","","",""
"MaFNg0jKQ5uLNhgJHAXs8--53Opx4OFnABsCmMJpu3yGaz_GlRMGuR2tI3dORnSY","2021-08-18 00:40:03","","","","FQZxCw4glWwCz1oScGGm7g**","98.44.69.148","Mozilla/5.0 (Linux; Android 10; LM-Q730 Build/QKQ1.200216.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwCz1oScGGm7g**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwCz1oScGGm7g**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwCz1oScGGm7g**","","",""
"1MsgKb7PeMVPIow4petdoU4HByeJ3az3qrMelpn6XQ8xMK4GkqIcrgqoHirTRqCI","2021-08-18 00:40:03","2021-08-18 01:04:30","2021-08-18 01:04:31","","FQZxCw4glWwOuVkHIsITcA**","69.174.157.93","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwOuVkHIsITcA**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwOuVkHIsITcA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwOuVkHIsITcA**","0-3months","20706","0"
"PKX0CLoug4VgGHxHMpvV1pHs_W3Ug9CZPn8BXTGgvLqXaYVJ5UwlscmcEmh9shlP","2021-08-18 00:40:03","2021-08-18 00:41:55","2021-08-18 00:41:57","","FQZxCw4glWwUl93c__R_zQ**","184.170.166.127","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwUl93c__R_zQ**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwUl93c__R_zQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwUl93c__R_zQ**","0-3months","20011","0"
"EeiAipGYs0d_UqCPmQJTmJVJtQpRaF3nH1ic8ZE28eYkRbL9ZimFE_v1LFt007E6","2021-08-18 00:40:03","","","","FQZxCw4glWxVcl9e4Y3PBw**","50.246.138.1","Mozilla/5.0 (Linux; Android 10; SM-G960U1 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWxVcl9e4Y3PBw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWxVcl9e4Y3PBw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWxVcl9e4Y3PBw**","","",""
"dTomLhSL05CQ-Pc3T3TcpcQnwujEEdA5ZbV6JfbqBEdLNAa13cdti3lVz6Jugwiv","2021-08-18 00:40:03","","","","FQZxCw4glWxjz74lTWv3Fw**","173.17.157.206","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWxjz74lTWv3Fw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWxjz74lTWv3Fw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWxjz74lTWv3Fw**","","",""
"lvcHSmw11co1N0sPXNImGlNQFD6iX-ljiwQrQPS4KEPk4yiA4sXM4KJ606Y4eCS-","2021-08-18 00:40:09","","","","FQZxCw4glWwUfsfWnjR1Dg**","172.58.128.134","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwUfsfWnjR1Dg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwUfsfWnjR1Dg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwUfsfWnjR1Dg**","","",""
"X6HEm1RKuZ7XUlJPb6z6pOE7jSgDmAoTzRVvv2uP1iOYF6mj6fvUW8Aa74tflsgA","2021-08-18 00:40:11","2021-08-18 00:45:42","2021-08-18 00:45:43","","FQZxCw4glWwhzCxz-Tghvw**","172.58.31.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwhzCxz-Tghvw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwhzCxz-Tghvw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwhzCxz-Tghvw**","0-3months","20011","0"
"92DSXIR595HvlYUXMkqn0uUMf239mDr4VXYHkutBGUZgczAxsO2T-IfPjH7b7Xgb","2021-08-18 00:40:10","2021-08-18 00:40:36","2021-08-18 00:40:38","","FQZxCw4glWyZVVkqTAhs3g**","24.199.148.218","Mozilla/5.0 (Linux; Android 10; LGL455DL Build/QKQ1.200730.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.131 Mobile Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyZVVkqTAhs3g**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyZVVkqTAhs3g**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyZVVkqTAhs3g**","1year","28078","0"
"1EGAJe3k1aP8Mkgs6QFblrEFw7RtJZWalCS2c19SZY1trHgMuMksueRN36aFzWJB","2021-08-18 00:40:07","2021-08-18 00:40:44","2021-08-18 00:40:46","","FQZxCw4glWzFg9j4O-rUzw**","71.174.222.174","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Safari/605.1.15","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWzFg9j4O-rUzw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWzFg9j4O-rUzw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWzFg9j4O-rUzw**","1year","2053","0"
"-sspF-xCPSfP2NXGtP-HI2tnVo5L2tX5QCzK8FswkP9wv5LG8LiCb5236NXUMInU","2021-08-18 00:40:20","2021-08-18 01:04:46","2021-08-18 01:04:47","","FQZxCw4glWzKz2vH8_C91A**","38.135.8.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWzKz2vH8_C91A**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWzKz2vH8_C91A**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWzKz2vH8_C91A**","0-3months","20706","0"
"wElixK_LcwFyNuaRB6Snmg_ZyIv1VDplGeFFSPkGgn94SrbAMeozsayXcDxLctXn","2021-08-18 00:40:29","2021-08-18 00:41:10","2021-08-18 00:41:12","","FQZxCw4glWwgRjvzRbxIsw**","73.152.162.70","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","622","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwgRjvzRbxIsw**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwgRjvzRbxIsw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwgRjvzRbxIsw**","0-3months","23221","0"
"N_vkPfIXR0U6Tg5Pw6Cxk24vHGu2e9pwBYoQowRUUJEpbai_5YcV6SjGl6pFZTdV","2021-08-18 00:40:33","","","","FQZxCw4glWwtQB1DiRl8OQ**","73.107.57.222","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwtQB1DiRl8OQ**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwtQB1DiRl8OQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwtQB1DiRl8OQ**","","",""
"T6z8_sRVJXaeqiZGfIosBZLGOvOnIIqqSJTQSILvQrEPWC-od_8-ssjOA6XmRovo","2021-08-18 00:40:33","2021-08-18 00:41:43","2021-08-18 00:41:44","","FQZxCw4glWymC9gqcOpImA**","98.16.131.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWymC9gqcOpImA**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWymC9gqcOpImA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWymC9gqcOpImA**","0-3months","31788","0"
"S1Gol7coh0R_CGSy2dSMFaM6e00-WE4Lf9hBaorHYngnVchymm7BMa7Nj4VGdPuf","2021-08-18 00:40:33","","","","FQZxCw4glWwtQB1DiRl8OQ**","73.107.57.222","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwtQB1DiRl8OQ**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwtQB1DiRl8OQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwtQB1DiRl8OQ**","","",""
"rNhqWZlqCKFTomRMgCiJvCdhIK11uuhLxOPwebHG22GHpsxQZvDIwMDCnc8iKzrG","2021-08-18 00:40:33","","","","FQZxCw4glWyKjzjS9CVqxQ**","98.160.203.107","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWyKjzjS9CVqxQ**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWyKjzjS9CVqxQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWyKjzjS9CVqxQ**","","",""
"u6re0P8f7KJxG4p7KWIGPH9dbzXyuGMeWtpozhpwLTe5lPhutzRnOdKEfvF1UitB","2021-08-18 00:40:33","2021-08-18 00:41:39","2021-08-18 00:41:41","","FQZxCw4glWzpwG-36yUoow**","199.66.69.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWzpwG-36yUoow**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWzpwG-36yUoow**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWzpwG-36yUoow**","0-3months","55783","0"
"gdtCQwKupsAuEiCnakS151SknBSijMS4WKbkj7jvkuF0Z1_6n8geFx0_YNv4uakH","2021-08-18 00:40:33","2021-08-18 00:42:09","2021-08-18 00:42:10","","FQZxCw4glWwVPct_zRZYIA**","63.239.66.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWwVPct_zRZYIA**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWwVPct_zRZYIA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWwVPct_zRZYIA**","1year","12534","0"
"dbMhA3IZKyz-3ADiL0qZuixLHC0JNyyvQfMJWiAdWiFVWMnFVKa8zVPOBuy2t971","2021-08-18 00:40:33","","","","FQZxCw4glWxRtbYjm7nVSg**","72.181.14.212","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWxRtbYjm7nVSg**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWxRtbYjm7nVSg**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWxRtbYjm7nVSg**","","",""
"Nsbau83nBUH_1EkagBlFuZEgLt4kqqIkLrVY_k_-o6bVV-LxZ0cN6-X2lF6jxBFe","2021-08-18 00:40:43","","","","FQZxCw4glWxITOU6ktVE2Q**","174.17.164.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","652","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=FQZxCw4glWxITOU6ktVE2Q**&basic=48729","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=FQZxCw4glWxITOU6ktVE2Q**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=FQZxCw4glWxITOU6ktVE2Q**","","",""
