"session","created","modified","ended","expired","respondentID","knowledgeFuelGas","knowledgeFuelElec","knowledgeSub","householdVehicles","currentVehType","currentVehTypeOther","parkingHousehold","parkingHouseholdOther","neighborEV","considerPHEV","considerBEV","yearOfBirth","gender","genderOther","ethnicity","ethnicityOther","education","work","housingType","housingTypeOther","housingOwner","housingOwnerOther","householdSize","income","political","politicalOther","covidEmployment","feedback"
"TasiC3n2r8hWzbTjnJ7Bnghq0-y6DI1RwegtR2AHesH2kc22fVSnaw6RFu8UhN-z","2021-08-23 19:00:59","2021-08-23 19:02:48","2021-08-23 19:02:48","","1548","hev","bev","not_sure","2","Gasoline","","shared_lot","","2","maybe","maybe","1960","male","","white","","degree_bs","employed_under40","condo","","own","","2","inc_50to75","moderate","","no","none"
"WrbJbrvkxxfCSXs_-8AWmkDtpe6Yshgh0o-qKdzsdw64MCw78OvgSoa5SzUqaNNt","2021-08-23 19:03:44","2021-08-23 19:05:31","2021-08-23 19:05:31","","8733","hev, phev","phev","not_sure","0","","","shared_lot","","2","maybe","maybe","1974","male","","white","","college_some","employed_under40","apartment","","rent","","1","under25","moderate","","no",""
"25-OUWjn-p7kDIG3EQYGAngrwXyo8tu5wXmyYOpfTFNV5dg83-ZffVaw0dzznIbh","2021-08-23 19:03:47","2021-08-23 19:04:59","2021-08-23 19:04:59","","9024","phev","phev","7500","1","Gasoline","","street, driveway","","2","probablyYes","definitelyYes","1975","female","","black","","college_some","disabled","apartment","","rent","","3","inc_50to75","moderate","","no",""
"dTCKzb5wy6GeOVHktaJfd1XfrPrEDcPByeSYOj2gQbr3IAyLldXnI3N9PgDh32yR","2021-08-23 19:05:02","2021-08-23 19:06:25","2021-08-23 19:06:25","","4988","hev","hev, phev, bev","not_sure","1","Gasoline","","street, driveway, SFH, shared_garage, shared_lot","","2","probablyYes","definitelyYes","1975","male","","white","","college_some","disabled","prefer_not_say","","prefer_not_say","","1","under25","moderate","","yes","No thanks"
"bAbzyDjW6-lbGJ1a3uZvGdsrCiIbMq0idGaC_Ihh_TdCrgmO4Z4Pup3ctdutfYP3","2021-08-23 19:05:48","2021-08-23 19:10:05","2021-08-23 19:10:05","","7326","hev","phev, bev","not_sure","2","Gasoline","","driveway","","3","probablyYes","maybe","1978","female","","white","","hs","disabled","mobile","","rent","","5 or more","inc_25to35","liberal","","no",""
"XHQf5JMTLlyAHCPcm43pDVdUhPCPXb7vdblDClcYZPDHLRY1m_wjYB3B84ALB1g6","2021-08-23 19:06:24","2021-08-23 19:08:03","2021-08-23 19:08:03","","8638","hev, phev","phev, bev","not_sure","2","Gasoline","","driveway","","3","definitelyNot","definitelyNot","1951","female","","white","","college_some","retired","detached","","own","","2","inc_50to75","conservative","","no",""
"xLXBEeLi_hklYncp_7PIugfmUKgNTnS6FV3BQImU3ZSIV-KSzMOOLqF6Tgv7efUn","2021-08-23 19:06:28","2021-08-23 19:07:53","2021-08-23 19:07:53","","3468","hev","phev, bev","not_sure","3","Gasoline, Hybrid","","driveway","","2","definitelyYes","definitelyYes","1983","male","","white","","degree_bs","employed_over40","detached","","own","","3","inc_75to100","very_liberal","","no",""
"2bXej0byq3SDuwsH3nPNNf0tt0G6QwVeIik9bmzT1og3cV551QGSuiOL-7GLp5lz","2021-08-23 19:07:04","2021-08-23 19:25:34","2021-08-23 19:25:34","","3559","hev","hev, phev, bev","not_sure","1","Gasoline","","SFH","","2","maybe","definitelyNot","1949","female","","white","","college_some","retired","detached","","own","","3","inc_50to75","very_conservative","","no","No I am retired  and "
"dBOpq6xagquBmAaQCwTTFT90sDXJtWmee-qsWVBL3Xzu2ayOnKOEfUlu10GVovmW","2021-08-23 19:07:46","2021-08-23 19:09:06","2021-08-23 19:09:07","","7001","hev","phev","not_sure","3","Gasoline","","street","","3","definitelyNot","definitelyNot","1973","female","","white","","degree_associate","disabled","detached","","own","","2","inc_35to50","moderate","","no",""
"yJPFX2tm9KHxAOrgmXNml85_3eyD0LV05Z1xCWj0316cZJYBLDQsZtHLfS8NS_as","2021-08-23 19:07:48","2021-08-23 19:08:48","2021-08-23 19:08:48","","9930","hev","phev, bev","not_sure","3","Gasoline","","driveway","","2","probablyNot","probablyNot","1997","female","","white","","degree_bs","employed_over40","detached","","own","","5 or more","inc_75to100","very_conservative","","yes",""
